Index,氏名,個人DATA,試合数,チーム,背番号,ポジション,利き腕,走,S1,S2,バント,HR,2H+,2H,3H,1H*,1H+,1H,Fa,BS,BB,KS,K,ﾀﾌﾈｽ,特徴,備考,守備１,守備２,守備３,守備４,守備５,守備６,守備７,グレード,コントロール,三振,被本塁打,スタミナ,登板間隔
209,村上　宗隆,00.02.02生 56試 率.273 22本,56,25 Swallows,55,内野手,右投左打,F,4,62,0,12 11 09 08 07,14 12 10 09 **,16 14 13 11 09,** ** ** ** **,20 18 15 13 11,24 21 18 15 13,31 28 24 20 17,39 34 30 25 21,51,73 69 65 62 58,100,87 79 72 65 57,S,負傷90(IH),4/18より使用可能,1B=2,3B=2,OF=2, , , , ,,,,,,
210,中村　悠平,90.06.17生 74試 率.230 1本,74,25 Swallows,27,捕手,右投右打,S,3,58,3,01 01 00 00 00,02 02 01 01 01,05 04 03 03 02,** ** ** ** **,10 09 08 07 05,16 14 12 11 09,28 25 21 18 15,33 29 25 22 18,51,66 64 61 58 55,100,94 90 86 82 79,C,DB,,C=5(T:10), , , , , , ,,,,,,
211,伊藤　琉偉,02.09.11生 87試 率.207 3本,87,25 Swallows,67,内野手,右投右打,F,4,61,3,02 02 01 01 01,03 03 03 02 02,06 06 05 04 03,07 ** 06 05 04,12 11 09 08 07,17 15 13 11 10,27 24 21 18 14,32 29 25 21 17,51,60 58 57 55 53,100,88 82 75 68 62,B,IH,準新人,2B=1,3B=1,SS=4, , , , ,,,,,,
212,茂木栄五郎,94.02.14生 53試 率.240 5本,53,25 Swallows,8,内野手,右投左打,-,3,55,2,03 02 02 02 02,04 04 03 03 **,07 06 05 04 03,** ** ** 05 04,13 11 10 08 07,19 17 14 12 10,30 27 23 20 16,35 31 27 23 19,51,66 63 60 58 55,100,89 83 77 71 65,B,負傷90(DB),,3B=4, , , , , , ,,,,,,
213,北村　恵吾,00.12.18生 46試 率.267 5本,46,25 Swallows,50,内野手,右投右打,S,3,56,2,03 02 02 02 02,05 05 04 03 03,10 09 08 07 05,** ** ** ** **,15 13 12 10 08,20 17 15 13 11,30 26 23 19 16,36 31 27 23 19,51,67 65 62 59 56,100,93 88 84 80 75,D,DB,準新人,1B=2,2B=2,3B=1,OF=2, , , ,,,,,,
214,西川　遥輝,92.04.16生 49試 率.174 0本,49,25 Swallows,3,外野手,右投左打,F,3,58,2,01 00 00 00 00,02 01 01 01 01,05 04 03 03 02,** 05 04 ** 03,10 09 08 07 06,16 14 12 10 08,26 23 20 17 14,33 29 25 21 17,51,69 66 63 60 56,100,91 87 82 77 72,C,負傷60(IH),,OF=2, , , , , , ,,,,,,
215,北村　拓己,95.08.29生 62試 率.190 3本,62,25 Swallows,38,内野手,右投右打,-,3,56,3,02 02 02 01 01,03 03 ** 02 02,05 05 04 04 03,** ** ** ** **,10 09 08 07 05,15 13 11 09 08,24 21 18 16 13,31 27 24 20 16,51,64 62 59 57 55,100,91 86 80 75 70,C,DB,,2B=1,3B=1,SS=3, , , , ,,,,,,
216,増田　珠,99.05.21生 75試 率.233 1本,75,25 Swallows,63,外野手,右投右打,S,3,58,3,02 01 01 01 01,03 03 02 02 02,06 06 05 04 03,07 ** 06 05 04,12 11 09 08 07,17 16 13 11 10,28 24 21 18 15,31 28 24 20 17,51,64 61 59 57 55,100,92 87 83 78 74,C,DB,,1B=2,OF=3, , , , , ,,,,,,
217,太田　賢吾,97.01.19生 44試 率.229 0本,44,25 Swallows,46,外野手,右投左打,-,2,25,2,01 00 00 00 00,02 02 02 01 01,05 05 04 04 03,06 ** 05 ** **,12 10 09 08 06,17 16 13 11 10,29 25 22 19 15,36 31 27 23 19,51,61 59 57 56 54,100,90 85 79 74 68,D,DB,,OF=3, , , , , , ,,,,,,
218,並木　秀尊,99.03.23生 54試 率.254 3本,54,25 Swallows,0,外野手,右投右打,F,4,65,3,02 02 02 01 01,04 03 03 03 02,07 07 06 05 04,08 ** ** ** 05,14 12 10 09 07,19 17 15 13 10,31 27 23 20 16,34 30 27 23 19,51,61 59 57 55 54,100,93 89 85 81 77,C,IH,,OF=3, , , , , , ,,,,,,
219,武岡　龍世,01.05.28生 47試 率.183 1本,47,25 Swallows,60,内野手,右投左打,-,3,58,3,02 01 01 01 01,03 02 02 02 02,06 05 04 04 03,** ** 05 ** **,10 09 08 07 06,15 13 11 10 08,24 21 18 16 13,30 27 23 20 16,51,61 59 57 55 54,100,90 85 80 74 69,D,,,2B=2,3B=3,SS=1, , , , ,,,,,,
220,宮本　丈,95.04.03生 80試 率.258 0本,80,25 Swallows,10,内野手,右投左打,S,3,58,2,00 00 00 00 00,02 01 01 01 01,05 04 03 03 02,** ** ** ** **,11 10 08 07 06,17 16 14 11 10,31 27 24 20 16,36 31 27 23 19,51,66 63 60 58 55,100,92 88 83 78 74,C,DB,,1B=2,2B=1,OF=2, , , , ,,,,,,
221,濱田　太貴,00.09.04生 34試 率.221 4本,34,25 Swallows,51,外野手,右投右打,S,2,25,2,02 02 02 02 01,04 04 03 03 02,08 07 06 05 05,** ** ** ** **,12 11 10 08 07,17 15 13 11 09,25 23 20 17 14,30 26 23 20 16,51,63 61 59 56 54,100,89 84 78 72 66,D,DB,,OF=3, , , , , , ,,,,,,
222,阪口　皓亮,99.08.15生 18試0勝0敗0S 防率3.70,18,25 Swallows,66,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 03 02 02,** ** ** ** **,06 05 04 04 03,08 07 06 05 05,12 11 10 08 07,17 16 14 11 10,31,33 33 32 31 31,100,69 61 54 47 40,D,WP,,P=4,,,,,,,G=0.9,C=1.1,K=1,HR=-,S=2,I=3.5
223,小澤　怜史,98.03.09生 25試0勝5敗0S 防率5.47,25,25 Swallows,45,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 03 02 02,** ** ** ** **,06 05 04 04 03,08 07 06 05 05,12 11 10 08 07,17 16 14 11 10,31,33 33 32 31 31,100,69 61 54 47 40,D,,,P=4,,,,,,,G=1.8,C=0.9,K=3,HR=**,S=2,I=3.0
224,田口　麗斗,95.09.14生 36試1勝1敗0S 防率2.76,36,25 Swallows,34,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 03 02 02,** ** ** ** **,06 05 04 04 03,08 07 06 05 05,12 11 10 08 07,17 16 14 11 10,31,33 33 32 31 31,100,69 61 54 47 40,C,WP,,P=5,,,,,,,G=2.1,C=1.7,K=2,HR=*,S=2,I=2.0
225,松本　健吾,99.04.14生 23試1勝0敗0S 防率1.87,23,25 Swallows,28,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,05 05 04 03 03,07 06 06 05 04,11 10 09 08 06,16 14 13 11 09,31,33 32 32 31 31,100,66 60 53 47 40,D,,準新人,P=4,,,,,,,G=2.1,C=3.8,K=2,HR=-,S=2,I=3.0
226,清水　昇,96.10.15生 35試0勝2敗1S 防率4.74,35,25 Swallows,17,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 03 02 02,** ** ** ** **,06 05 04 04 03,08 07 06 05 05,12 11 10 08 07,17 16 14 11 10,31,33 33 32 31 31,100,69 61 54 47 40,C,WP,,P=4,,,,,,,G=0.4,C=1.7,K=2,HR=-,S=2,I=1.5
227,木澤　尚文,98.04.25生 42試2勝1敗0S 防率3.40,42,25 Swallows,20,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,05 05 04 03 03,07 07 06 05 04,12 10 09 08 06,16 15 13 11 09,31,33 33 32 31 31,100,69 61 54 47 40,C,BK,,P=3,,,,,,,G=2.2,C=0.4,K=1,HR=-,S=2,I=1.5
228,石山　泰稚,88.09.01生 42試3勝3敗14S 防率2.21,42,25 Swallows,12,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,05 05 04 03 03,07 07 06 05 04,12 10 09 08 06,16 15 13 11 09,31,33 33 32 31 31,100,69 61 54 47 40,C,,,P=4,,,,,,,G=2.5,C=3.1,K=3,HR=-,S=2,I=1.5
229,矢崎　拓也,94.12.31生 45試2勝0敗0S 防率1.93,45,25 Swallows,41,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,05 05 04 03 03,07 07 06 05 04,12 10 09 08 06,16 15 13 11 09,31,33 33 32 31 31,100,69 61 54 47 40,C,WP,,P=5,,,,,,,G=3.8,C=0.8,K=2,HR=-,S=2,I=1.0
230,高橋　奎二,97.05.14生 8試3勝2敗0S 防率2.36,8,25 Swallows,47,投手,左投左打,-,2,25,2,00 00 00 00 00,01 01 01 ** **,03 02 02 02 01,** ** ** ** **,05 04 04 03 03,07 07 06 05 04,12 11 10 08 07,17 15 13 11 10,31,33 32 32 31 31,100,65 59 52 46 40,B,負傷120(WP),,P=4,,,,,,,G=2.5,C=1.1,K=3,HR=-,S=6,I=5.5
231,荘司　宏太,00.05.22生 45試2勝1敗0S 防率1.05,45,25 Swallows,30,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 03 02 02,** ** ** ** **,06 05 04 04 03,08 07 06 05 05,12 11 10 08 07,17 16 14 11 10,31,33 33 32 31 31,100,69 61 54 47 40,C,,新人,P=5,,,,,,,G=4.7,C=1.3,K=4,HR=*,S=2,I=1.0
232,星　知弥,94.04.15生 44試1勝2敗17S 防率1.67,44,25 Swallows,24,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,05 05 04 03 03,07 07 06 05 04,12 10 09 08 06,16 15 13 11 09,31,33 33 32 31 31,100,69 61 54 47 40,C,WP,,P=5,,,,,,,G=3.2,C=1.9,K=3,HR=-,S=2,I=1.0
233,大西　広樹,97.11.08生 50試3勝3敗4S 防率1.17,50,25 Swallows,44,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,05 05 04 03 03,07 07 06 05 04,12 10 09 08 06,16 15 13 11 09,31,33 33 32 31 31,100,69 61 54 47 40,B,WP,,P=5,,,,,,,G=4.4,C=2.4,K=2,HR=*,S=2,I=1.0
234,小川　泰弘,90.05.16生 13試4勝5敗0S 防率3.68,13,25 Swallows,29,投手,右投右打,S,2,25,3,00 00 00 00 00,01 01 01 01 **,03 03 02 02 02,** ** ** ** **,05 05 04 04 03,07 07 06 05 04,12 11 09 08 07,21 19 16 14 12,31,33 33 32 32 31,100,79 70 60 50 41,C,負傷45(WP),,P=4,,,,,,,G=0.5,C=3.6,K=1,HR=-,S=7,I=6.5
235,山野　太一,99.03.24生 14試5勝3敗0S 防率3.66,14,25 Swallows,26,投手,左投左打,-,2,25,3,00 00 00 00 00,01 01 01 01 01,04 03 03 02 02,** ** ** ** **,06 05 05 04 03,08 07 06 05 05,13 11 10 08 07,17 15 13 11 10,31,34 33 32 32 31,100,72 65 57 49 41,B,負傷75(WP),,P=5,,,,,,,G=0.3,C=2.8,K=2,HR=**,S=7,I=6.0
236,アビラ,97.01.14生 15試7勝8敗0S 防率4.04,15,25 Swallows,11,投手,右投右打,-,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 02 01,** ** ** ** **,05 04 04 03 02,07 06 05 05 04,12 11 09 08 06,16 15 13 11 09,31,32 32 31 31 31,100,73 65 57 49 41,C,WP,外国人,P=4,,,,,,,G=1.7,C=0.8,K=2,HR=-,S=6,I=6.0
237,高梨　裕稔,91.06.05生 17試3勝6敗0S 防率3.10,17,25 Swallows,40,投手,右投右打,-,2,25,2,00 00 00 00 00,01 01 ** ** **,02 02 01 01 01,** ** ** ** **,04 03 03 02 02,05 05 04 03 03,08 07 07 06 05,13 12 10 08 07,31,32 31 31 31 31,100,59 53 49 44 40,A,負傷60(BK),,P=4,,,,,,,G=1.9,C=2.2,K=2,HR=-,S=7,I=5.5
238,奥川　恭伸,01.04.16生 18試4勝8敗0S 防率4.32,18,25 Swallows,18,投手,右投右打,-,2,25,3,00 00 00 00 00,01 01 01 01 **,03 03 03 02 02,** ** ** ** **,06 06 05 04 03,09 08 07 06 05,15 13 12 10 08,20 17 15 13 10,31,32 31 31 31 31,100,62 57 51 46 40,B,負傷30(WP),,P=5,,,,,,,G=0.4,C=1.4,K=1,HR=-,S=7,I=6.0
239,ランバート,97.04.18生 21試3勝11敗0S 防率4.26,21,25 Swallows,39,投手,右投右打,-,2,25,2,00 00 00 00 00,01 01 01 ** **,02 02 02 01 01,** ** ** ** **,05 04 04 03 02,07 06 06 05 04,12 11 10 08 07,17 15 13 11 09,31,32 32 31 31 31,100,69 62 54 47 40,B,WP,外国人,P=5,,,,,,,G=1.0,C=0.3,K=2,HR=-,S=7,I=6.0
240,吉村貢司郎,98.01.19生 22試8勝6敗0S 防率3.05,22,25 Swallows,21,投手,右投右打,S,2,25,3,00 00 00 00 00,01 01 01 ** **,02 02 02 01 01,** ** ** ** **,03 03 03 02 02,05 04 04 03 **,07 06 05 05 04,11 10 08 07 06,31,36 35 34 33 32,100,75 67 58 49 41,B,WP,,P=4,,,,,,,G=1.7,C=3.2,K=1,HR=**,S=7,I=6.0
241,柳町　達,97.04.20生 131試 率.292 6本,131,25 Hawks,32,外野手,右投左打,S,3,67,2,02 01 01 01 01,03 03 02 02 02,06 05 05 04 03,** 06 ** ** **,13 12 10 08 07,20 17 15 13 11,33 29 26 22 18,41 36 31 26 22,51,69 66 63 59 56,100,90 85 79 74 69,S,DB,,OF=3, , , , , , ,,,,,,
242,山川　穂高,91.11.23生 130試 率.226 23本,130,25 Hawks,5,内野手,右投右打,S,2,25,0,06 05 05 04 03,07 06 ** ** 04,08 07 06 06 05,** ** ** ** **,13 11 10 08 07,17 15 13 11 10,25 23 20 17 14,34 30 26 22 18,51,64 61 59 57 54,100,88 82 75 68 62,S,DB,,1B=2, , , , , , ,,,,,,
243,牧原　大成,92.10.15生 125試 率.304 5本,125,25 Hawks,8,内野手,右投左打,F,4,76,3,02 01 01 01 01,03 03 03 02 02,07 06 05 04 04,08 07 07 06 05,16 14 12 11 09,24 21 18 15 13,39 34 30 25 21,47 42 36 31 26,51,53 53 52 52 51,100,94 90 86 82 79,A,IH,,2B=4,OF=2, , , , , ,,,,,,
244,中村　晃,89.11.05生 116試 率.240 3本,116,25 Hawks,7,外野手,左投左打,S,3,66,2,01 01 01 01 00,02 02 02 ** 01,04 04 03 03 02,05 05 04 04 03,11 10 08 07 06,16 15 13 11 09,28 25 21 18 15,36 32 28 24 20,51,67 64 62 59 56,100,95 92 90 87 84,A,DB,,1B=3, , , , , , ,,,,,,
245,周東　佑京,96.02.10生 96試 率.286 3本,96,25 Hawks,23,内野手,右投左打,F,6,89,2,01 01 01 01 00,02 02 02 02 01,05 05 04 03 03,06 ** ** 04 **,13 12 10 08 07,20 18 15 13 11,34 30 26 23 19,39 35 30 26 21,51,64 61 59 57 55,100,92 88 83 79 75,B,IH,,OF=4(C), , , , , , ,,,,,,
246,野村　勇,96.12.01生 126試 率.271 12本,126,25 Hawks,99,内野手,右投右打,F,5,80,2,04 03 03 02 02,05 05 04 03 03,08 07 07 06 05,** ** ** ** **,14 13 11 09 08,20 18 15 13 11,32 28 24 21 17,38 34 30 25 21,51,60 58 57 55 53,100,86 78 70 63 55,A,IH,,1B=2,2B=1,3B=3,SS=3, , , ,,,,,,
247,栗原　陵矢,96.07.04生 80試 率.267 8本,80,25 Hawks,24,内野手,右投左打,S,3,67,2,03 03 02 02 02,05 04 04 03 **,08 07 06 05 04,** ** 07 06 05,14 12 11 09 08,20 17 15 13 10,30 27 23 20 16,40 35 31 26 21,51,68 65 62 59 56,100,91 86 80 75 70,A,負傷45(DB),4/17より使用可能,1B=2,3B=5, , , , , ,,,,,,
248,近藤　健介,93.08.09生 75試 率.301 10本,75,25 Hawks,3,外野手,右投左打,S,2,25,0,05 04 03 03 02,07 06 05 05 04,12 11 09 08 06,** ** 10 ** 07,17 16 14 12 10,23 21 18 15 12,34 30 26 22 18,41 37 32 27 22,51,71 68 64 60 57,100,94 90 86 83 79,B,負傷45(DB),,OF=2(R), , , , , , ,,,,,,
249,海野　隆司,97.07.15生 105試 率.220 0本,105,25 Hawks,62,捕手,右投右打,S,2,25,4,01 00 00 00 00,02 02 02 01 01,06 05 04 04 03,07 06 05 ** 04,12 10 09 08 06,16 15 13 11 09,27 24 20 17 14,31 28 24 21 17,51,56 55 54 53 52,100,86 79 71 63 56,A,DB,,C=6(T:-4), , , , , , ,,,,,,
250,川瀬　晃,97.09.15生 102試 率.263 2本,102,25 Hawks,0,内野手,右投左打,-,3,67,3,01 01 01 01 00,02 02 02 02 01,05 05 04 03 03,06 06 05 04 **,12 11 10 08 07,19 17 15 12 10,31 28 24 21 17,37 33 28 24 20,51,63 60 58 56 54,100,92 88 83 79 75,B,DB,,1B=2,2B=3,3B=1,SS=3, , , ,,,,,,
251,佐藤　直樹,98.09.03生 104試 率.239 5本,104,25 Hawks,30,外野手,右投右打,F,4,77,3,02 02 02 01 01,03 03 03 02 02,06 06 05 04 03,08 08 07 06 05,13 12 10 08 07,17 16 13 11 10,26 23 20 17 14,33 29 26 22 18,51,60 59 57 55 53,100,83 75 66 57 48,A,IH,,OF=4, , , , , , ,,,,,,
252,今宮　健太,91.07.15生 46試 率.255 2本,46,25 Hawks,6,内野手,右投右打,S,2,25,3,02 01 01 01 01,04 03 03 02 02,07 07 06 05 04,08 ** ** 06 05,14 12 11 09 07,19 17 15 12 10,30 26 23 19 16,36 32 28 24 20,51,63 60 58 56 54,100,94 90 86 82 79,B,負傷90(DB),,SS=4, , , , , , ,,,,,,
253,ダウンズ,98.07.27生 50試 率.226 4本,50,25 Hawks,4,内野手,右投右打,F,4,71,2,03 02 02 02 02,05 04 04 03 03,08 08 07 06 05,10 09 08 07 **,14 12 11 09 08,18 16 14 12 10,27 23 20 17 14,34 30 26 23 19,51,66 63 60 58 55,100,91 85 80 75 69,B,負傷75(IH),外国人,2B=1,3B=3, , , , , ,,,,,,
254,嶺井　博希,91.06.04生 63試 率.224 4本,63,25 Hawks,12,捕手,右投右打,S,2,25,3,03 03 02 02 02,05 04 03 03 **,07 06 05 04 04,** ** ** ** **,12 11 09 08 06,17 16 13 11 10,28 25 21 18 15,36 32 28 24 19,51,59 57 56 54 53,100,90 85 79 73 68,C,DB,,C=5(T:-2), , , , , , ,,,,,,
255,廣_　隆太,01.04.07生 30試 率.224 1本,30,25 Hawks,33,内野手,右投右打,S,3,68,2,01 01 01 01 01,03 02 02 02 **,05 05 04 03 03,** ** ** ** **,11 09 08 07 06,16 14 12 10 09,27 24 20 17 14,34 30 27 23 19,51,60 58 57 55 53,100,89 83 77 71 66,D,,,1B=2,2B=1,3B=3, , , , ,,,,,,
256,山本　恵大,99.08.06生 25試 率.214 2本,25,25 Hawks,77,外野手,右投左打,S,2,25,2,02 01 01 01 01,03 02 02 02 **,05 04 03 03 02,** ** ** ** **,10 09 07 06 05,15 13 12 10 08,25 23 20 17 14,32 28 24 21 17,51,64 62 60 57 55,100,90 84 78 72 66,D,DB,4/12入団、準新人,OF=2, , , , , , ,,,,,,
257,谷川原健太,97.04.16生 48試 率.264 3本,48,25 Hawks,45,捕手,右投左打,-,2,25,2,02 02 02 02 01,05 04 04 03 03,10 09 08 07 06,11 10 09 ** **,16 14 12 10 09,21 18 16 13 11,30 27 23 20 16,36 32 28 23 19,51,61 60 58 56 54,100,88 82 76 70 63,B,負傷75(DB),,C=5(T:10),OF=2, , , , , ,,,,,,
258,緒方　理貢,98.09.22生 101試 率.216 0本,101,25 Hawks,57,外野手,右投左打,F,5,73,2,00 00 00 00 00,01 01 01 01 **,03 03 03 02 02,05 04 04 03 **,10 09 07 06 05,15 13 11 10 08,25 22 19 16 13,30 27 23 20 16,51,61 59 57 55 53,100,91 86 81 77 72,B,,,OF=3, , , , , , ,,,,,,
259,柳田　悠岐,88.10.09生 20試 率.288 4本,20,25 Hawks,9,外野手,右投左打,-,2,25,2,03 02 02 02 02,05 04 03 03 **,07 06 06 05 04,** 07 ** ** **,13 12 10 09 07,19 17 15 12 10,31 27 23 20 16,37 33 29 24 20,51,64 61 59 57 54,100,91 86 81 77 72,C,負傷120,,OF=2, , , , , , ,,,,,,
260,正木　智也,99.11.05生 17試 率.259 2本,17,25 Hawks,31,外野手,右投右打,-,3,68,2,02 02 02 02 01,04 03 03 03 02,07 06 05 05 04,** ** ** ** **,12 11 10 08 07,18 16 14 12 10,29 26 22 19 16,40 35 30 26 21,51,60 58 57 55 53,100,90 84 78 73 67,D,負傷120,,OF=3, , , , , , ,,,,,,
261,笹川　吉康,02.05.31生 26試 率.213 1本,26,25 Hawks,44,外野手,左投左打,F,3,69,2,02 02 01 01 01,03 ** 02 02 **,04 03 03 03 02,** ** ** ** **,10 09 08 06 05,16 14 12 11 09,28 25 22 18 15,36 32 28 24 20,51,55 54 54 53 52,100,88 81 75 68 62,D,DB,,OF=3, , , , , , ,,,,,,
262,石塚綜一郎,01.06.07生 24試 率.236 0本,24,25 Hawks,55,捕手,右投右打,S,2,25,2,01 01 01 00 00,02 02 02 02 01,06 05 04 04 03,** ** ** ** **,10 09 08 07 06,15 14 12 10 08,25 22 19 16 14,33 29 25 22 18,51,65 62 60 57 55,100,88 81 74 68 61,E,DB,,1B=2,OF=2, , , , , ,,,,,,
263,木村　光,00.07.02生 13試0勝0敗1S 防率1.02,13,25 Hawks,68,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,E,,,P=5,,,,,,,G=5.5,C=1.3,K=4,HR=-,S=2,I=4.0
264,大江　竜聖,99.01.15生 16試0勝1敗0S 防率1.53,16,25 Hawks,29,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,D,,5/12入団,P=4,,,,,,,G=3.6,C=0.3,K=3,HR=-,S=2,I=3.5
265,津森　宥紀,98.01.21生 22試1勝1敗1S 防率3.38,22,25 Hawks,11,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,11 10 09 08 06,16 14 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,D,WP,,P=4,,,,,,,G=2.8,C=0.4,K=3,HR=-,S=2,I=3.5
266,オスナ,95.02.07生 26試3勝1敗8S 防率4.15,26,25 Hawks,54,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,11 10 09 08 06,16 14 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,D,,外国人,P=4,,,,,,,G=1.3,C=2.0,K=1,HR=-,S=2,I=3.0
267,大山　凌,02.03.27生 26試1勝1敗1S 防率2.35,26,25 Hawks,53,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,11 10 09 08 06,16 14 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,D,,準新人,P=4,,,,,,,G=3.0,C=0.3,K=2,HR=-,S=2,I=2.5
268,東浜　巨,90.06.20生 7試4勝2敗0S 防率2.51,7,25 Hawks,16,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,11 10 09 08 06,16 14 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,D,負傷60,4/20より使用可能,P=4,,,,,,,G=1.8,C=3.8,K=1,HR=-,S=6,I=7.5
269,尾形　崇斗,99.05.15生 38試1勝1敗0S 防率4.67,38,25 Hawks,39,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,C,WP,,P=4,,,,,,,G=1.5,C=2.2,K=4,HR=**,S=2,I=1.5
270,ヘルナンデス,96.12.17生 42試1勝2敗0S 防率3.35,42,25 Hawks,63,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,C,WP,外国人,P=4,,,,,,,G=2.1,C=1.1,K=4,HR=*,S=2,I=1.5
271,前田　純,00.06.04生 10試2勝2敗0S 防率3.12,10,25 Hawks,51,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,C,負傷90,準新人,P=4,,,,,,,G=2.4,C=1.0,K=1,HR=-,S=6,I=6.0
272,藤井　皓哉,96.07.29生 51試2勝3敗2S 防率1.44,51,25 Hawks,48,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,B,WP,,P=4,,,,,,,G=4.8,C=1.4,K=4,HR=-,S=2,I=1.0
273,松本　裕樹,96.04.14生 51試5勝2敗0S 防率1.07,51,25 Hawks,66,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,B,WP,,P=4,,,,,,,G=4.9,C=2.1,K=4,HR=-,S=2,I=1.0
274,杉山　一樹,97.12.07生 65試3勝4敗31S 防率1.82,65,25 Hawks,40,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,11 10 09 08 06,16 14 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,A,WP,,P=3,,,,,,,G=4.3,C=0.3,K=4,HR=-,S=2,I=0.5
275,大津　亮介,99.01.13生 12試6勝2敗0S 防率1.92,12,25 Hawks,26,投手,右投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,C,負傷60(PO),,P=6,,,,,,,G=2.8,C=3.8,K=1,HR=-,S=6,I=6.0
276,松本　晴,01.02.24生 29試6勝6敗0S 防率2.76,29,25 Hawks,49,投手,左投左打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,12 11 09 08 06,17 15 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,B,WP,準新人,P=6,,,,,,,G=1.4,C=2.6,K=3,HR=-,S=5,I=4.5
277,上沢　直之,94.02.06生 23試12勝6敗0S 防率2.74,23,25 Hawks,10,投手,右投右打,S,2,25,2,00 00 00 00 00,01 01 ** ** **,** ** 01 01 01,** ** ** ** **,04 03 03 03 02,07 06 05 04 03,11 10 09 08 06,16 14 13 11 09,31,32 32 32 31 31,100,81 71 62 52 42,A,PO,,P=4,,,,,,,G=2.7,C=2.3,K=2,HR=-,S=7,I=5.5
